Item Name,Category,desc,qty,weight,unit,url,price,worn,consumable
"Tent: Fly, Inner & bag",Shelter,"Fjällräven Abisko Shape 3 (bag 84g, 1768g inner + fly)",1,1852,gram,https://www.fjallraven.com/eu/en-gb/bags-gear/tents-sleeping-bags/tents/abisko-shape-3/,0,,
Raincover,Pack,Bergans,1,119,gram,,0,,
Osprey Exos 58,Pack,"Blue, Large, older model",1,1300,gram,,0,,
Strap Pocket,Pack,Tread Lite Gear Cuben Fiber Roll Top Dry Bag,1,23,gram,,0,,
Strap Pocket,Pack,Tread Lite Gear Cuben Fiber /w zipper,1,14,gram,,0,,
Sleeping bag,Sleep,Rab Mythic 400,1,684,gram,,0,,
Sleeping pad,Sleep,NeoAir Xlite NXT Regular Wide,1,456,gram,,0,,
Pillow,Sleep,Exped AirPillow UL Medium,1,50,gram,http://www.exped.com/finland/en/air-pillow-m,0,,
Drybag for sleeping bag,Sleep,"Exped Fold Drybag UL (Small, 5l)",1,18,gram,,0,,
Stove,Cooking & hydration,Alpkit Koro,1,134,gram,https://www.alpkit.com/products/koro,0,,
Pot,Cooking & hydration,"TOAKS Titanium 1300ml, /w pouch",1,160,gram,,0,,
Cup,Cooking & hydration,Foldacup,1,24,gram,https://www.wildo.se/products/the-orignal-fold-a-cup/,0,,
Food Bowl,Cooking & hydration,"Big Fold-A-Cup, for breakfast mostly",2,46,gram,,0,,
Windscreen,Cooking & hydration,DIY Aluminium,1,22,gram,,0,,
Empty 230g gas canister,Cooking & hydration,,1,160,gram,,0,,
Gas,Cooking & hydration,,1,230,gram,,0,,Consumable
Hydration pack,Cooking & hydration,Hydrapak Shape Shift Reversible 3l,1,154,gram,https://hydrapak.com/products/shape-shift-3-liter,0,,
Spoon,Cooking & hydration,Tread Lite Gear MKII,1,7,gram,https://www.treadlitegear.co.uk/tread-lite-gear-set-of-2-mkii-ultralight-coffee-or-eating-spoons-63g-each-210-p.asp,0,,
Empty 330ml plastic bottle,Cooking & hydration,"When not empty, contains whisky",1,20,gram,,0,,
Water filter,Cooking & hydration,Platypus QuickDraw,1,64,gram,,0,,
Dirty water bag,Cooking & hydration,CNOC Vecto 2l,1,79,gram,,0,,
