"Device Name","SandWeather"
"Device Model","Kestrel DROP 2"
"Serial Number","2224283"
"FORMATTED DATE_TIME","Temperature","Relative Humidity","Heat Index","Dew Point","Data Type","Record name","Start time","Duration (H:M:S)","Location description","Location address","Location coordinates","Notes"
"YYYY-MM-DD HH:MM:SS","°C","%","°C","°C"
"2025-07-10 05:00:00 PM","21.1","53.2","20.7","11.2","point"
"2025-07-10 04:30:00 PM","21.1","55.3","20.8","11.8","point"
"2025-07-10 04:00:00 PM","22.6","53.7","22.3","12.7","point"
"2025-07-10 03:30:00 PM","23.0","33.2","21.5","5.9","point"
"2025-07-10 03:00:00 PM","23.9","32.3","22.3","6.4","point"
"2025-07-10 02:30:00 PM","27.1","31.2","25.3","8.6","point"
"2025-07-10 02:00:00 PM","23.3","36.8","22.1","7.7","point"
"2025-07-10 01:30:00 PM","25.6","32.9","23.9","8.1","point"
"2025-07-10 01:00:00 PM","29.8","28.4","28.1","9.5","point"
"2025-07-10 12:30:00 PM","30.5","26.5","28.9","9.2","point"
"2025-07-10 12:00:00 PM","20.9","36.2","19.6","5.4","point"
"2025-07-10 11:30:00 AM","27.4","31.0","25.7","8.8","point"
"2025-07-10 11:00:00 AM","26.1","36.8","24.7","10.2","point"
"2025-07-10 10:30:00 AM","22.9","37.5","21.6","7.6","point"
"2025-07-10 10:00:00 AM","22.8","45.6","22.0","10.4","point"
"2025-07-10 09:30:00 AM","15.9","60.5","14.8","8.3","point"
"2025-07-10 09:00:00 AM","15.1","61.1","14.1","7.7","point"
"2025-07-10 08:30:00 AM","13.7","68.4","13.1","8.0","point"
"2025-07-10 08:00:00 AM","12.2","67.1","11.5","6.2","point"
"2025-07-10 07:30:00 AM","12.1","67.4","11.5","6.3","point"
"2025-07-10 07:00:00 AM","10.8","68.6","10.3","5.3","point"
"2025-07-10 06:30:00 AM","10.3","72.8","9.8","5.6","point"
"2025-07-10 06:00:00 AM","8.8","76.8","8.6","5.0","point"
"2025-07-10 05:30:00 AM","8.8","76.7","8.5","4.9","point"
"2025-07-10 05:00:00 AM","8.9","76.5","8.7","5.0","point"
"2025-07-10 04:30:00 AM","7.7","81.5","7.6","4.8","point"
"2025-07-10 04:00:00 AM","7.7","82.3","7.6","4.9","point"
"2025-07-10 03:30:00 AM","7.2","82.5","7.1","4.4","point"
"2025-07-10 03:00:00 AM","8.4","78.0","8.1","4.8","point"
"2025-07-10 02:30:00 AM","8.4","78.4","8.2","4.9","point"
"2025-07-10 02:00:00 AM","7.6","82.0","7.5","4.7","point"
"2025-07-10 01:30:00 AM","7.3","85.9","7.3","5.1","point"
"2025-07-10 01:00:00 AM","7.4","81.8","7.2","4.5","point"
"2025-07-10 12:30:00 AM","7.5","77.6","7.2","3.8","point"
"2025-07-10 12:00:00 AM","8.7","74.1","8.4","4.3","point"
"2025-07-09 11:30:00 PM","7.1","71.0","6.7","2.2","point"
